City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail
NEW,ISS026-E-26567,40.6,-74.0,0.0,0.0,40.1,-75.4,NIKON D3S S/N: 2007934,20110212,100959,189.0,90.0,-21.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26567,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26567.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26567.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26567.jpg
CATANIA,ISS026-E-26953,37.6,15.0,0.0,0.0,38.8,14.8,NIKON D3S S/N: 2007934,20110213,205635,188.0,300.0,-50.0,1/15,4.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26953,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26953.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26953.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26953.jpg
HAIFA,ISS026-E-28909,32.9,35.1,0.0,0.0,30.9,34.8,NIKON D3S S/N: 2007934,20110222,232440,189.0,50.0,-60.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28909,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28909.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-28909.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-28909.jpg
PALERMO,ISS026-E-26937,38.0,13.4,0.0,0.0,37.4,12.7,NIKON D3S S/N: 2007934,20110213,205601,188.0,296.0,-49.0,1/15,4.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26937,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26937.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26937.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26937.jpg
BEIRUT,ISS026-E-28894,33.8,35.4,0.0,0.0,32.2,33.4,NIKON D3S S/N: 2007934,20110222,232412,189.0,46.0,-61.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28894,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28894.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-28894.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-28894.jpg
TRIPOLI,ISS026-E-14822,32.8,13.1,0.0,0.0,31.9,9.4,NIKON D3S S/N: 2007934,20110103,212501,186.0,281.0,-62.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=14822,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-14822.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-14822.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-14822.jpg
CAGLIARI,ISS026-E-16814,39.1,9.1,0.0,0.0,37.4,9.7,NIKON D3S S/N: 2007934,20110110,180549,185.0,257.0,-20.0,1/15,9.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=16814,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-16814.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-16814.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-16814.jpg
VALENCIA,ISS026-E-14796,39.5,-0.4,0.0,0.0,39.6,-1.1,NIKON D3S S/N: 2007934,20110103,212200,185.0,283.0,-51.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=14796,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-14796.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-14796.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-14796.jpg
MILANO,ISS026-E-28826,45.5,9.3,0.0,0.0,45.5,11.4,NIKON D3S S/N: 2007934,20110222,231830,187.0,356.0,-55.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28826,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28826.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-28826.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-28826.jpg
COLOMBO,ISS026-E-19535,7.1,79.8,0.0,0.0,6.0,80.3,NIKON D3S S/N: 2007934,20110121,233558,192.0,109.0,-19.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=19535,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-19535.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-19535.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-19535.jpg
